2023-08-18 06:46:02,648 INFO  c.c.e.component.MariaDBAppender - [getlog]Started ErsentinelSpringbootApplication in 3.786 seconds (process running for 4.015)
2023-08-18 06:46:03,669 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-18 06:46:03,669 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:03,669 INFO  c.c.e.component.MariaDBAppender - [getlog]Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-18 06:46:03,670 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-18 06:46:03,670 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:03,670 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Shutdown initiated...
2023-08-18 06:46:03,672 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-18 06:46:03,672 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:46:03,672 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Shutdown completed.
2023-08-18 06:47:55,536 INFO  c.c.e.ErsentinelSpringbootApplication - Starting ErsentinelSpringbootApplication using Java 17.0.4.1 with PID 61813 (/Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th/ersentinel_springboot/build/classes/java/main started by alex in /Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th)
2023-08-18 06:47:55,537 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:55,538 INFO  c.c.e.component.MariaDBAppender - [getlog]Starting ErsentinelSpringbootApplication using Java 17.0.4.1 with PID 61813 (/Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th/ersentinel_springboot/build/classes/java/main started by alex in /Users/alex/Library/CloudStorage/OneDrive-dongguk.edu/AssignmentProject/Project/securecode10th)
2023-08-18 06:47:55,542 INFO  c.c.e.ErsentinelSpringbootApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-18 06:47:55,543 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:55,543 INFO  c.c.e.component.MariaDBAppender - [getlog]No active profile set, falling back to 1 default profile: "default"
2023-08-18 06:47:56,037 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-18 06:47:56,037 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,037 INFO  c.c.e.component.MariaDBAppender - [getlog]Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-18 06:47:56,038 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-18 06:47:56,038 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,038 INFO  c.c.e.component.MariaDBAppender - [getlog]Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-18 06:47:56,162 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 119 ms. Found 8 JPA repository interfaces.
2023-08-18 06:47:56,162 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,162 INFO  c.c.e.component.MariaDBAppender - [getlog]Finished Spring Data repository scanning in 119 ms. Found 8 JPA repository interfaces.
2023-08-18 06:47:56,487 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-08-18 06:47:56,487 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,487 INFO  c.c.e.component.MariaDBAppender - [getlog]Tomcat initialized with port(s): 8080 (http)
2023-08-18 06:47:56,491 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-08-18 06:47:56,491 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,491 INFO  c.c.e.component.MariaDBAppender - [getlog]Initializing ProtocolHandler ["http-nio-8080"]
2023-08-18 06:47:56,492 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-18 06:47:56,492 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,492 INFO  c.c.e.component.MariaDBAppender - [getlog]Starting service [Tomcat]
2023-08-18 06:47:56,492 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-08-18 06:47:56,492 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,492 INFO  c.c.e.component.MariaDBAppender - [getlog]Starting Servlet engine: [Apache Tomcat/10.1.11]
2023-08-18 06:47:56,533 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-18 06:47:56,533 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,533 INFO  c.c.e.component.MariaDBAppender - [getlog]Initializing Spring embedded WebApplicationContext
2023-08-18 06:47:56,533 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 948 ms
2023-08-18 06:47:56,533 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,533 INFO  c.c.e.component.MariaDBAppender - [getlog]Root WebApplicationContext: initialization completed in 948 ms
2023-08-18 06:47:56,603 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-18 06:47:56,603 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,603 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-18 06:47:56,630 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.6.Final
2023-08-18 06:47:56,630 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,630 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000412: Hibernate ORM core version 6.2.6.Final
2023-08-18 06:47:56,632 INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-08-18 06:47:56,632 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,632 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000406: Using bytecode reflection optimizer
2023-08-18 06:47:56,699 INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-08-18 06:47:56,699 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,699 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000021: Bytecode provider name : bytebuddy
2023-08-18 06:47:56,776 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-08-18 06:47:56,776 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,776 INFO  c.c.e.component.MariaDBAppender - [getlog]No LoadTimeWeaver setup: ignoring JPA class transformer
2023-08-18 06:47:56,786 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-18 06:47:56,786 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,786 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Starting...
2023-08-18 06:47:56,830 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@7d977a20
2023-08-18 06:47:56,830 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,830 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Added connection org.mariadb.jdbc.Connection@7d977a20
2023-08-18 06:47:56,831 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-18 06:47:56,831 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,831 INFO  c.c.e.component.MariaDBAppender - [getlog]HikariPool-1 - Start completed.
2023-08-18 06:47:56,977 INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-08-18 06:47:56,977 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
2023-08-18 06:47:56,977 INFO  c.c.e.component.MariaDBAppender - [getlog]HHH000021: Bytecode provider name : bytebuddy
2023-08-18 06:47:57,364 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-18 06:47:57,364 INFO  c.c.e.component.MariaDBAppender - [MariaDBAppender] append
